,,,,,,
OBS. Categories,,,,,,
Rate/Pace,,adequate pace and volume,"reads at a quick pace; reads at a good rate, ",adequate pacing that reflects attention to meaning,rushed through the reading,faster rate might contribute to miscuing on shorter words
,,slows at unfamiliar words,reading slowly and carefully,sometimes speed affects enunciation,reads quickly with few miscues,reads too fast for comprehension to be intact
,,,,,,
Expression/Phrasing,,appropriate phrasing and expression  ,reads in meaningful phrases with good expression,reads in long phrases with good expression,starts out strong with good phrasing and expression,good phrasing and expression until final sentence
,, flat expression,reads dialogue with expression,reads with little expression,limited expression,expression is somewhat weak
,,uneven phrasing with difficult vocabulary and syntax,uneven phrasing reading when reading a complex sentence containing a series of nouns,phrasing not always done in meaning units (misparses),challenging vocabulary interferes with phrasing, reads in short phrases
,,student changing pitch when reading sentences ending in a question mark,reading is flat and monotone toward the end,confuses short vowels; subvocalizes during word solving ,the sentences sound disjointed,misreads dialog
,,,,,,
Intonation,,reads at an adequate rate with good intonation,demonstrates awareness of sentences and some intonation,intonation indicates not observing all punctuation;,student placing emphasis on certain words,
,,flat intonation,reads with little expression and intonation;,rate and intonation reflect fluency and comprehension,monotone,
Punctuation,,attends to phrasing and punctuation,observes punctuation,generally observes punctuation,carefully attends to punctuation,observes most punctuation but does not always use sentence final intonation
,,does not always attend to punctuation,attends to some punctuation,does not observe punctuation,"attends to some punctuation, but not all, reading through some sentence endings",Does not attend to punctuation consistently
,,student inconsistently pausing for punctuation,runs over punctuation,doesn't always adhere to punctuation when rushing,"attends to some punctuation, but intonation is off, especially on endings ",does not read punctuation with appropriate intonation
Volume,,"volume too low, reading very softly","difficult to understand, mumbles",,,
Pausing,,student pausing for new sentences,pausing in between words,,,
,,,,,,
Language Skills,,,,,,
Pronunciation,,self-monitors for pronunciation and meaning x 2, r-less in consonant blends and post-vocalically; ,difficulty articulating /r/ sound;, elides unstressed syllable,
Syntax,,struggled with syntax in last sentence,"not always cross-checks meaning, syntax, and visual information;",not checking for meaning and syntax,does not always monitor syntax,ignoring some syntactical cues
,,stumbled on syntax in final sentence,,,,
Vocabulary,,good vocabulary knowledge,strong vocabulary,student pronouncing domain-specific vocabulary words correctly,good sight vocabulary and word analysis,
,,challenging vocabulary interferes with phrasing;, limited subject matter vocabulary,Solid vocabulary,,
"Morphology (affixes, word analysis)",, some difficulty with prefixes and suffixes,difficulty with suffixes (-ly),demonstrates knowledge of possessives and contractions,controls possessives,
,,lacks familiarity with irregular past tense verbs (caught),difficulty with past tense verbs,student adding -s to word that isn't plural,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
